ext	description
.cdr	CorelDRAW vector or bitmap graphics
.emz	Microsoft Windows compressed enhanced metafile
.dst	Tajima Embroidery format
.ai	Adobe Illustrator graphics file
.swf	ShockWave Flash, Animated vector format for the Internet
.drw	Vector drawing file
.fh11	Adobe FreeHand 11 drawing file
.sdr	SmartDraw drawing file
.odg	OpenDocument drawing file
.pic	Picture file
.cgm	Computer graphics metafile
.svg	XML based vector graphics format
.dpp	Serif DrawPlus drawing file
.spa	FutureSplash Movie (Adobe Flash)
.wmf	Windows metafile format
.cdl	SignLab vector graphics
.hpg	HP Graphics Language plotter file
.fh10	Adobe FreeHand 10 drawing file
.svgz	Compressed SVG (Scalable Vector Graphics) file
.fh9	Adobe FreeHand 9 drawing file
.vss	Microsoft Visio smartshapes file
.gl2	HP Graphics Language plotter file
.dsf	Micrografx Designer 6/7 graphic file
.pxf	Tajima DG/ML embroidery design file
.cdx	CorelDRAW compressed drawing file
.myw	MyWorld Education Drawing file
.cnv	Canvas drawing file
.fs	FlexiSIGN document file
.exp	Melco embroidery design file
.csh	Adobe Photoshop shapes file
.fh	Adobe FreeHand image file
.ait	Adobe Illustrator template file
.draw	Acorn vector draw file
.fh8	Adobe FreeHand 8 drawing file
.sda	StarOffice drawing file
.fxg	Adobe Flash XML graphics format file
.tvg	Toon Boom vector graphics file
.cvx	Canvas drawing file
.vml	Vector Markup Language file
.gem	GEM vector picture file
.graffle	OmniGraffle drawing file
.ac6	Artcut software graphics design file
.evf	ENVI vector file
.ddoc	Apple MacDraw vector graphic file
.pcl	HP vector graphics file
.ded	Dr. Engrave document file
.vpf	Vector Product Format
.dxb	AutoCAD drawing exchange format
.vip	Husqvarna Viking embroidery format
.plo	HP Graphics Language plotter file
.tlc	The Logo Creator file
.v3m	Vector Art 3D Machinist format file
.hpgl	Hewlett Packard Graphics Language plot file
.plot	Vector graphics file
.dg	Auto-trol Vector graphic file
.svf	Simple Vector Format
.dvg	GraphicsWorks vector drawing file
.sxd	OpenOffice/StarOffice drawing file
.design	Microsoft Expression Design drawing file
.gt	Gold Thread embroidery format
.sk2	ACD/ChemSketch drawing file
.web	Xara web document file
.csl	CorelDRAW symbol library file
.hg	HP Graphics Language file
.hpl	Hewlett-Packard LaserJet vector image file
.jan	Janome Digitizer embroidery design
.idea	Adobe Ideas vector drawing file
.idraw	iDraw vector graphics file
.dcs	QuarkXPress desktop color separation file
.md	Mayura Draw vector drawing
.pat	CorelDRAW vector pattern file
.cht	Harvard Graphics vector file
.tng	Namo WebCanvas vector graphic file
.cvl	Coastal Vector Listing file format
.ctn	Cadterns Sloper File
.hpp	Hewlett-Packard Printer Control Language vector image
.pct	Apple Macintosh QuickDraw/PICT bitmap graphics format
.drawing	Artboard drawing file
.hpgl2	Hewlett Packard Graphics Language 2 file
.cvg	Calamus vector image file format
.rdl	Bentley MicroStation redline file
.tdr	Top Draw vector graphic file
.pem	BABYLOCK, BROTHER, PE-DESIGN Embroidery format
.pel	Baby Lock, Bernina Deco, Brother, Simplicity Embroidery format
.pat	Pattern Maker Cross-Stitch Pattern File
.fcd	FastCAD or EasyCAD 2D vector image file
.pd	FlexiSIGN 5 plotter document file
.sp	SignPlot output format
.awg	Ability Draw vector graphic file
.fh5	Adobe FreeHand drawing file
.dat	Barudan Embroidery format
.cag	Microsoft Clip Gallery catalog file
.u01	Barudan embroidery file
.pat	PCStitch Pattern File
.mvg	ImageMagick proprietary vector graphics format
.jbs	DesignArt vector graphics file
.mgs	MGCSoft vector shapes file
.cil	Microsoft Office Clip Gallery download package
.fhd	Adobe FreeHand vector drawing file
.cv5	Canvas 5 drawing file
.scv	ScanVec CASmate sign file
.fh3	Adobe FreeHand drawing file
.85v	TI-85 vector file
.drw	Acorn vector draw file
.cvs	Canvas bitmap or vector image
.ezdraw	EazyDraw picture file
.igf	Intercept Geometry file
.slddwg	SolidWorks drawing 2D vector graphics file
.pdx	Mayura Draw graphics file
.xar	Xara vector drawing file
.cdrw	CorelDRAW for Mac file
.u00	Embroidery format
.pat	Vector pattern file
.zbr	Zoner Zebra metafile file
.svgb	Binary encoded SVG file
.pws	Print Workshop image file
.sk1	sK1 vector drawing file
.vec	ENVI vector template file
.cdr3	CorelDRAW 3 for Mac vector or bitmap image
.nap	NAPLPS vector image metafile
.10o	Toyota Embroidery Format
.fmv	Frame Vector Metafile file
.aff	Acorn vector draw file
.100	Toyota Embroidery Format
.cdr6	CorelDRAW 6 for Mac vector or bitmap image
.s57	International Hydrographic Organization vector image
.hp1	HP Graphics Language plotter file
.cvi	Canvas vector image format
.do	Digital Line Graph optional vector data
.ac5	ArtCut 5 document file
.cpi	Calamus vector image file
.ssk	FutureWave SmartSketch vector graphics file
.vbr	GIMP parametric brush file
.gsd	GraphTec vector graphic data file
.ovt	Orbit vector file tiled
.dpr	Bentley Digital InterPlot file
.mit	Mitsubishi Embroidery Format
.907	CalComp 907 Plot vector graphics file
.dsx	Micrografx Designer graphic file
.new	Ameco Embroidery Format
.ft11	Adobe FreeHand 11 template file
.macdraw	MacDraw file format
.yal	Arts & Letters clipart library file
.gnc	Great Notions embroidery file
.zsk	ZSK USA embroidery format
.xgz	MegaBitz vector drawing
.t09	PFAFF embroidery file
.fxy	Fortron Embroidery Format
.86v	TI-86 vector file
.fh2	Adobe FreeHand drawing file
.exy	Eltac embroidery format
.pdw	HiJaak vector graphics file
.pgs	DALiM LiTHO vector page file
.pat	PatternSmith cutting pattern file
.cdr4	CorelDRAW 4 for Mac vector or bitmap image
.dem	Melco Embroidery format
.sif	ISIF vector data file
.ft8	Adobe FreeHand 8 template file
.ft9	Adobe FreeHand 9 template file
.pobj	Photo Pos Pro vector object file
.inb	Inbro Embroidery Format
.pat	Orchida Embroidery system embroidery design file
.ovs	Orbit vector symbol file
.gks	Graphical Kernel System fle
.cdt	ConceptDraw Pro template file
.ft10	Adobe FreeHand 10 template file
.cbd	Vector map data format for mapbrowser and mapwriter
.eys	Sierra Expanded Embroidery Format
.pat	Cadterns Sloper File
.ddrw	Apple ClarisDraw draw file
.cdr5	CorelDRAW 5 for Mac vector or bitmap image
.phb	PHB Brother ULT Embroidery format
.asy	Asymptote module file
.ovf	Orbit vector file
.fh4	Adobe FreeHand drawing file
.sdw	Lotus WordPro drawing file
.t2d	TouchDraw drawing file
.agd1	Adobe FreeHand for Mac drawing file
.b2f	RISC OS Windows metafile
.mgcb	MGCSoft Equation Illustrator project file
.max	Pfaff embroidery format
.uxy	Barudan embroidery outline file
.oxf	Orbit vector XML file
.psid	Adobe Postscript image data file
.fh6	Adobe FreeHand drawing file
.fh12	Adobe FreeHand drawing file
.hppcl	Hewlett-Packard Printer Control Language vector image
.opt	Digital Line graph optional vector data
.pat	Polygon Attribute table file
.thr	Thred embroidery outline file
.cdx	ConceptDraw PRO XML document file
.artb	Artboard vector drawing file
.cdsx	ConceptDraw PRO XML slide show file
.cdtx	ConceptDraw PRO XML template file
.cds	ConceptDraw Pro slide show file
.naplps	North American Presentation Layer Protocol Syntax file
.hplj	Hewlett-Packerd LaserJet vector image file